False Positive Rate,True Positive Rate
0.0,0.0
0.0,2.002803925495694e-05
0.0,6.008411776487082e-05
0.0,8.011215701982776e-05
0.0,0.00012016823552974164
0.0,0.00018025235329461245
0.0,0.00022030843180452633
0.0,0.0002803925495693972
0.0,0.00032044862807931103
0.0,0.0006008411776487082
1.9972039145196725e-05,0.0006208692169036651
1.9972039145196725e-05,0.0009413178449829762
1.9972039145196725e-05,0.00098137392349289
1.9972039145196725e-05,0.0018225515722010816
1.9972039145196725e-05,0.0018626076507109954
1.9972039145196725e-05,0.0022431403965551774
1.9972039145196725e-05,0.002283196475065091
1.9972039145196725e-05,0.0025235329461245743
1.9972039145196725e-05,0.0025635890246344883
1.9972039145196725e-05,0.003324654516322852
1.9972039145196725e-05,0.003364710594832766
1.9972039145196725e-05,0.0035449629481273783
1.9972039145196725e-05,0.0035850190266372923
1.9972039145196725e-05,0.003645103144402163
1.9972039145196725e-05,0.0036851592229120767
1.9972039145196725e-05,0.0037252153014219907
1.9972039145196725e-05,0.0037652713799319047
1.9972039145196725e-05,0.004366112557580613
1.9972039145196725e-05,0.004406168636090527
1.9972039145196725e-05,0.004526336871620269
3.994407829039345e-05,0.004526336871620269
3.994407829039345e-05,0.004806729421189666
3.994407829039345e-05,0.00484678549969958
3.994407829039345e-05,0.0049068696174644506
3.994407829039345e-05,0.004966953735229321
3.994407829039345e-05,0.004986981774484278
3.994407829039345e-05,0.005047065892249149
3.994407829039345e-05,0.0051071500100140195
3.994407829039345e-05,0.0051472060885239335
3.994407829039345e-05,0.005667935109152814
3.994407829039345e-05,0.005707991187662728
3.994407829039345e-05,0.005788103344682555
3.994407829039345e-05,0.005828159423192469
3.994407829039345e-05,0.005908271580212297
3.994407829039345e-05,0.005948327658722211
3.994407829039345e-05,0.00614860805127178
3.994407829039345e-05,0.006188664129781694
3.994407829039345e-05,0.006308832365311436
3.994407829039345e-05,0.00634888844382135
3.994407829039345e-05,0.0071700380532745845
3.994407829039345e-05,0.0072100941317844985
3.994407829039345e-05,0.007630682956138594
3.994407829039345e-05,0.007670739034648508
3.994407829039345e-05,0.007750851191668335
3.994407829039345e-05,0.007871019427198077
3.994407829039345e-05,0.008091327859002604
3.994407829039345e-05,0.008131383937512518
3.994407829039345e-05,0.008171440016022432
3.994407829039345e-05,0.008211496094532346
3.994407829039345e-05,0.00825155217304226
3.994407829039345e-05,0.008291608251552174
3.994407829039345e-05,0.008812337272181054
3.994407829039345e-05,0.008852393350690968
3.994407829039345e-05,0.009433206489084718
3.994407829039345e-05,0.00949329060684959
3.994407829039345e-05,0.009993991588223512
3.994407829039345e-05,0.010034047666733426
3.994407829039345e-05,0.01085519727618666
3.994407829039345e-05,0.010895253354696575
3.994407829039345e-05,0.011315842179050671
3.994407829039345e-05,0.011355898257560585
3.994407829039345e-05,0.011375926296815542
3.994407829039345e-05,0.011415982375325456
3.994407829039345e-05,0.011616262767875024
3.994407829039345e-05,0.011656318846384938
3.994407829039345e-05,0.011896655317444422
3.994407829039345e-05,0.011936711395954336
3.994407829039345e-05,0.01249749649509313
3.994407829039345e-05,0.012537552573603044
3.994407829039345e-05,0.013739234928900461
3.994407829039345e-05,0.013779291007410375
3.994407829039345e-05,0.013799319046665332
3.994407829039345e-05,0.013879431203685158
3.994407829039345e-05,0.013919487282195072
3.994407829039345e-05,0.013959543360704986
3.994407829039345e-05,0.015661926697376326
3.994407829039345e-05,0.01570198277588624
3.994407829039345e-05,0.016242739835770077
3.994407829039345e-05,0.01628279591427999
3.994407829039345e-05,0.016402964149809733
3.994407829039345e-05,0.016443020228319647
3.994407829039345e-05,0.016903665131183656
3.994407829039345e-05,0.01694372120969357
3.994407829039345e-05,0.016983777288203484
3.994407829039345e-05,0.017023833366713398
3.994407829039345e-05,0.017384338073302624
3.994407829039345e-05,0.017424394151812538
3.994407829039345e-05,0.018165431604245944
3.994407829039345e-05,0.018205487682755858
3.994407829039345e-05,0.01890646905667935
3.994407829039345e-05,0.018946525135189265
3.994407829039345e-05,0.019206889645503704
3.994407829039345e-05,0.019246945724013618
3.994407829039345e-05,0.020508712197075906
3.994407829039345e-05,0.02054876827558582
